facilityuid,facility,code,ward,sub_county,county,indicator,period,dhis2_value,datim_value,gender,age
BXOrXdOZoWE,Macalder Sub-District Hospital,13745,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2019Q4,110,99.0,(F),15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,JiuqbydCIcy,2020Q2,25,43.0,(F),20-24
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,pkShOkgNQt2,2020Q1,35,35.0,(M),20-24
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,2020Q1,42,45.0,(F),15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,2020Q2,17,20.0,(F),15-19
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2019Q4,12,46.0,(F),20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,8,8.0,(M),20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,5,3.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,gTkVw97FnQK,2019Q4,240,237.0,(M),25+
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2019Q4,155,153.0,(F),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q1,117,134.0,(F),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2019Q4,29,29.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2020Q1,11,11.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,2020Q2,3,3.0,(M),10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2019Q4,81,82.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q1,65,63.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q2,50,47.0,(M),20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,2020Q1,89,116.0,(F),15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2019Q4,83,133.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q1,49,62.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q2,38,45.0,(F),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2019Q4,103,106.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q1,23,23.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q2,5,5.0,(M),10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2019Q4,28,24.0,(M),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2020Q2,19,19.0,(M),20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q1,41,50.0,(F),15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q2,47,52.0,(F),15-19
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2019Q4,44,81.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q1,41,65.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q2,24,49.0,(F),20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q2,12,28.0,(F),15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,11,10.0,(M),10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,2,2.0,(M),10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q2,3,5.0,(M),10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,17,19.0,(M),20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,16,6.0,(M),20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,33,50.0,(F),15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,23,18.0,(F),15-19
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,gTkVw97FnQK,2019Q4,116,122.0,(M),25+
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q1,72,85.0,(F),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q2,48,46.0,(F),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2019Q4,37,39.0,(M),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2020Q2,19,19.0,(M),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q2,55,53.0,(F),15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,gTkVw97FnQK,2020Q1,888,846.0,(M),25+
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,JiuqbydCIcy,2020Q2,263,315.0,(F),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,lj9QYJqS7bN,2019Q4,179,144.0,(M),10-14
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2019Q4,315,310.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2020Q1,116,139.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2020Q2,167,147.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,2019Q4,663,643.0,(F),15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,2020Q2,193,144.0,(F),15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q1,90,187.0,(F),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q2,209,120.0,(F),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2019Q4,19,45.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2020Q1,6,25.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2020Q2,1,1.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q1,55,63.0,(M),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2019Q4,100,203.0,(F),15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q1,94,136.0,(F),15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2019Q4,20,12.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2020Q1,2,3.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2020Q2,6,7.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2019Q4,61,78.0,(F),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2019Q4,41,34.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q1,27,23.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q2,5,5.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2019Q4,48,61.0,(F),15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q2,9,13.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,21,44.0,(F),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,36,43.0,(F),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,22,5.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,7,3.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q2,8,4.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,30,22.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,16,13.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,19,10.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,37,53.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,24,40.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,27,27.0,(F),15-19
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q1,24,49.0,(F),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q2,17,19.0,(F),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q1,12,14.0,(M),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q2,15,14.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,33,54.0,(F),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,20,39.0,(F),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,18,0.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,17,17.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,21,21.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,23,28.0,(F),15-19
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q1,151,96.0,(F),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,63,65.0,(M),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,37,24.0,(M),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2019Q4,120,119.0,(F),15-19
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q2,8,6.0,(F),15-19
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2019Q4,52,339.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q1,46,170.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q2,46,166.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2019Q4,5,6.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q1,1,1.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q2,1,1.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q1,24,88.0,(F),15-19
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q2,17,67.0,(F),15-19
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,18,48.0,(F),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,21,34.0,(F),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,3,3.0,(M),10-14
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,1,1.0,(M),10-14
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,18,25.0,(M),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,15,14.0,(M),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,7,27.0,(F),15-19
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,8,20.0,(F),15-19
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,atSQz5O7e2A,2020Q2,25,46.0,(F),25+
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2019Q4,39,124.0,(F),20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,5,21.0,(F),20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,4,3.0,(M),10-14
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,2,2.0,(M),10-14
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,34,30.0,(M),20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,21,24.0,(M),20-24
B8Y8xuk4MFf,Ngo'nga Dispensary,17052,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,15,15.0,(M),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,gMICOUtzqRb,2020Q1,1,1.0,(F),10-14
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,gMICOUtzqRb,2020Q2,1,1.0,(F),10-14
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,87,34.0,(F),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,1,1.0,(M),10-14
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,1,1.0,(M),10-14
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,28,28.0,(M),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,44,39.0,(M),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,12,5.0,(M),20-24
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,33,33.0,(F),15-19
bgPs2UcHIcc,Tuungane Centre Awendo,18503,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,10,10.0,(F),15-19
eNAWFykGp3w,Uriri Health Centre,14161,Central kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2019Q4,94,378.0,(F),20-24
eNAWFykGp3w,Uriri Health Centre,14161,Central kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q1,180,140.0,(F),20-24
eNAWFykGp3w,Uriri Health Centre,14161,Central kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2019Q4,43,21.0,(M),10-14
eNAWFykGp3w,Uriri Health Centre,14161,Central kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q1,7,2.0,(M),10-14
eNAWFykGp3w,Uriri Health Centre,14161,Central kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,2020Q2,1,0.0,(M),10-14
