facilityuid,facility,code,ward,sub_county,county,indicator,indicator_name,period,dhis2_value,datim_value
xt2lltkTLza,Ntimaru Sub-District Hospital,13858.0,Ntimaru west Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,1.0,1.0
xt2lltkTLza,Ntimaru Sub-District Hospital,13858.0,Ntimaru west Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,2.0,1.0
SZnkrFoimi2,Kugitimo Health Centre,13723.0,Nyabasi east Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,1.0,1.0
xt2lltkTLza,Ntimaru Sub-District Hospital,13858.0,Ntimaru west Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,2.0,2.0
kVVmxGZKCfA,Chinato Dispensary,13526.0,Nyabasi west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,96.0,96.0
NoZjHcIDHGW,Kegonga District Hospital,13663.0,Nyabasi east Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,1.0,1.0
kVVmxGZKCfA,Chinato Dispensary,13526.0,Nyabasi west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,35.0,63.0
G2SApeuVqIS,Royal Nursing Home,14061.0,Central kamagambo Ward,Rongo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,179.0,174.0
Oa3osQS1OkN,St Joseph Mission Hospital,14110.0,Suna central Ward,Suna East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,145.0,144.0
TzHwSMZNntq,Muchebe Dispensary,13830.0,Mokerero Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,35.0,35.0
aWpElDmioIw,Kuja Dispensary,13724.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,22.0,27.0
hHb5SzuuyHK,Nyabokarange Dispensary,13862.0,Bukira Central/Ikerege Ward,Kuria West Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,1.0,1.0
UMheUvXia9d,Nyamanga Dispensary,13896.0,Kachieng' Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,28.0,26.0
gFC5kCFDDqG,Isibania Sub-District Hospital,13625.0,Isibania Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,250.0,243.0
B8Y8xuk4MFf,Ngo'nga Dispensary,17052.0,South sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,3.0,3.0
JJHQ16uTrPX,St Camillus Mission Hospital,14103.0,Kachieng' Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,8.0,8.0
orKDpItM56v,Agenga Dispensary,13467.0,North kadem Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,36.0,35.0
sAMKlirWAu6,Nyarongi Dispensary,13940.0,Kakrao Ward,Suna East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,39.0,39.0
LYR8fhhFOaQ,Duruma,16268.0,North kadem Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,1.0,1.0
FIDsgV3ezn0,Olasi Dispensary,13975.0,Kaler Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,37.0,36.0
jC5xoC8BnPT,St Barnabas Dispensary,14102.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,94.0,93.0
G4FemD36hGF,Osingo Dispensary,13996.0,God jope Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,9.0,9.0
FpS8TixqWn4,Ombo Kowiti,17039.0,Central kanyamkago Ward,Uriri Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,8.0,9.0
NpKmhJBECVb,Saro Dispensary,14069.0,Kakrao Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,7.0,7.0
NDFVW6VFCnE,Nyamaraga Health Centre,13897.0,Wasimbete Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,131.0,124.0
KV7mZo1P75i,Rongo District Hospital,14058.0,Central kamagambo Ward,Rongo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,230.0,223.0
leXuCmyYwWX,Ngere Dispensary,13850.0,East kamagambo Ward,Rongo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,49.0,46.0
V6P9Brv9LmO,Otati Dispensary,13999.0,Kanyasa Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,5.0,5.0
sJHMc412zV6,Thim Lich Dispensary,16278.0,North kadem Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,44.0,39.0
WlgH5Q5Y6kZ,Nyakuru Dispensary,13885.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,43.0,43.0
q3Hiw70svzH,Midoti Dispensary,13804.0,Suna central Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,4.0,4.0
dWATcMI6XJL,Angaga Dispensary,17050.0,South sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,3.0,3.0
dOTpdQwrYeN,Migori District Hospital,13805.0,Suna central Ward,Suna East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,430.0,408.0
LPKh4nXw3jE,Kipingi Dispensary,16269.0,Kanyasa Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,21.0,20.0
Z4h8itV1gpt,Lwala Dispensary,13740.0,North kamagambo Ward,Rongo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,218.0,214.0
sR008hvpu5e,Sony Medical Centre,14097.0,Central sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,9.0,5.0
WlgH5Q5Y6kZ,Nyakuru Dispensary,13885.0,North sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,4.0,4.0
pS72TtLnCvM,Ongito Dispensary,13988.0,North kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,35.0,35.0
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,13640.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,32.0,32.0
MxwFljO9mmy,Sibuoche Dispensary,14082.0,West kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,106.0,106.0
BSIVRetkq9o,Getongoroma Dispensary,13569.0,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,59.0,58.0
pJP2SYBe0bB,Nyamasare Dispensary,13900.0,North kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,51.0,50.0
aWpElDmioIw,Kuja Dispensary,13724.0,North sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,7.0,7.0
WDe0umtdbif,Kabuto Dispensary,13639.0,North kadem Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,14.0,9.0
OnMW8Kn4YDf,Ogada Dispensary,13960.0,Wasimbete Ward,Suna West Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,3.0,3.0
YFSNlKvGVDj,Lwanda Dispensary,13741.0,North kadem Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,55.0,52.0
gMhjxJKU9mM,St Monica Rapogi Health Centre,14121.0,North kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,120.0,117.0
wd25QXppWr2,Bware Dispensary,13519.0,South kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,85.0,82.0
dW7oScLnDy2,Winjo Dispensary,14173.0,Muhuru Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,3.0,3.0
KV7mZo1P75i,Rongo District Hospital,14058.0,Central kamagambo Ward,Rongo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,52.0,52.0
ZBtoRProc6e,Awendo Sub-District Hospital,13492.0,Central sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,24.0,24.0
sR008hvpu5e,Sony Medical Centre,14097.0,Central sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,5.0,5.0
hcF52HKSsCR,Suna Rabuor Dispensary,14135.0,Kwa Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,4.0,4.0
G4FemD36hGF,Osingo Dispensary,13996.0,God jope Ward,Suna East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,28.0,40.0
KpXqE32Rm1d,Kombe Dispensary,13713.0,Masaba Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,28.0,25.0
ZjLUO5whjGS,Aneko Dispensary,13478.0,Got kachola Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,4.0,4.0
XWycxNbm28F,Ngodhe Dispensary,13853.0,East kamagambo Ward,Rongo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,6.0,6.0
cLo2mMOlSkq,Muhuru Health Centre,13833.0,Muhuru Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,23.0,22.0
naa6PTuNZM4,Jevros Clinic,13635.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,11.0,19.0
nnQCgclxCj6,Taranganya Dispensary,14144.0,Bukira east Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,55.0,55.0
WPhMyqa7tMP,Kombato Dispensary,16270.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,3.0,3.0
gMhjxJKU9mM,St Monica Rapogi Health Centre,14121.0,North kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,136.0,131.0
G4FemD36hGF,Osingo Dispensary,13996.0,God jope Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,7.0,6.0
Dp9uga9zfqH,God Kwer Dispensary,13583.0,Wiga Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,107.0,104.0
GNwx6r3BZ8O,Pastor Machage Memorial Hospital,14014.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,2.0,4.0
bi747puqsrA,Matoso Health Clinic,13793.0,Got kachola Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,9.0,9.0
eNAWFykGp3w,Uriri Health Centre,14161.0,Central kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,160.0,158.0
hLMDMOsAv6Y,Bande Dispensary,13494.0,Kaler Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,35.0,34.0
FpS8TixqWn4,Ombo Kowiti,17039.0,Central kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,37.0,35.0
WPhMyqa7tMP,Kombato Dispensary,16270.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,6.0,6.0
DmDKo97EhtM,Osogo Dispensary,13997.0,West kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,51.0,50.0
xaQ9Z2jrxRM,Anjego Dispensary,13480.0,Kakrao Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,6.0,6.0
naa6PTuNZM4,Jevros Clinic,13635.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,7.0,5.0
zwV7ekHDAwe,Sori Lakeside Nursing and Maternity Home,14098.0,Kachieng' Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,10.0,10.0
cLo2mMOlSkq,Muhuru Health Centre,13833.0,Muhuru Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,13.0,13.0
Dsv44iuGboK,St Akidiva Memorial Hospital,14101.0,Oruba Ward,Suna West Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,3.0,3.0
KpXqE32Rm1d,Kombe Dispensary,13713.0,Masaba Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,28.0,27.0
xaQ9Z2jrxRM,Anjego Dispensary,13480.0,Kakrao Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,3.0,3.0
wd25QXppWr2,Bware Dispensary,13519.0,South kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,71.0,69.0
ZjLUO5whjGS,Aneko Dispensary,13478.0,Got kachola Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,3.0,3.0
DmDKo97EhtM,Osogo Dispensary,13997.0,West kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,45.0,45.0
xKOxyxxlXk1,Suna Nursing and Maternity Home,14134.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,98.0,92.0
dOTpdQwrYeN,Migori District Hospital,13805.0,Suna central Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,45.0,44.0
LFBf0WwBzaX,Tisinye Dispensary,14149.0,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,2.0,2.0
SPfT81d1gVx,Namba Kodero Dispensary,16273.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,6.0,6.0
FpS8TixqWn4,Ombo Kowiti,17039.0,Central kanyamkago Ward,Uriri Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,4.0,3.0
V6P9Brv9LmO,Otati Dispensary,13999.0,Kanyasa Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,8.0,8.0
xa8ZMxIarv6,Giribe Dispensary,13576.0,Wasimbete Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,80.0,73.0
gFC5kCFDDqG,Isibania Sub-District Hospital,13625.0,Isibania Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,323.0,315.0
QzrC7FpTOCf,Macalder Mission Dispensary,13744.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,6.0,5.0
zwV7ekHDAwe,Sori Lakeside Nursing and Maternity Home,14098.0,Kachieng' Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,11.0,11.0
G2SApeuVqIS,Royal Nursing Home,14061.0,Central kamagambo Ward,Rongo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,226.0,213.0
xKOxyxxlXk1,Suna Nursing and Maternity Home,14134.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,64.0,62.0
naa6PTuNZM4,Jevros Clinic,13635.0,North sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,3.0,3.0
ZBtoRProc6e,Awendo Sub-District Hospital,13492.0,Central sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,46.0,46.0
HIbQsMgPQm0,Othoro,14003.0,North kanyamkago Ward,Uriri Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,3.0,3.0
aWpElDmioIw,Kuja Dispensary,13724.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,49.0,48.0
dW7oScLnDy2,Winjo Dispensary,14173.0,Muhuru Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,5.0,5.0
xa8ZMxIarv6,Giribe Dispensary,13576.0,Wasimbete Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,44.0,57.0
QzrC7FpTOCf,Macalder Mission Dispensary,13744.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,9.0,8.0
BXOrXdOZoWE,Macalder Sub-District Hospital,13745.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,72.0,67.0
NpKmhJBECVb,Saro Dispensary,14069.0,Kakrao Ward,Suna East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,67.0,67.0
iX9MCYrhHOP,Koloo Dispensary,17038.0,North kanyamkago Ward,Uriri Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,50.0,48.0
LYR8fhhFOaQ,Duruma,16268.0,North kadem Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,4.0,3.0
TzHwSMZNntq,Muchebe Dispensary,13830.0,Mokerero Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,25.0,25.0
WPhMyqa7tMP,Kombato Dispensary,16270.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,37.0,37.0
DDiNOmleakD,Siruti Dispensary,17051.0,West sakwa Ward,Awendo Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,9.0,9.0
WDe0umtdbif,Kabuto Dispensary,13639.0,North kadem Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,5.0,5.0
jSsqGE88rMQ,Wath Onger Dispensary,14170.0,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,10.0,10.0
xa8ZMxIarv6,Giribe Dispensary,13576.0,Wasimbete Ward,Suna West Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,3.0,3.0
bi747puqsrA,Matoso Health Clinic,13793.0,Got kachola Ward,Nyatike Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,9.0,9.0
hLMDMOsAv6Y,Bande Dispensary,13494.0,Kaler Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,33.0,33.0
fzoNOK6Nrqc,Nyamekongoroto Health Centre,13907.0,Masaba Ward,Kuria West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,73.0,73.0
ZjLUO5whjGS,Aneko Dispensary,13478.0,Got kachola Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,24.0,24.0
mvhjOGeHZbK,Nyandago Koweru Dispensary,13919.0,Got kachola Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,39.0,40.0
FH1lPSOnK9z,Kwoyo Kodalo Dispensary,13729.0,North sakwa Ward,Awendo Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,83.0,79.0
V6P9Brv9LmO,Otati Dispensary,13999.0,Kanyasa Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,31.0,31.0
xKOxyxxlXk1,Suna Nursing and Maternity Home,14134.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,84.0,82.0
NpKmhJBECVb,Saro Dispensary,14069.0,Kakrao Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,10.0,10.0
JJHQ16uTrPX,St Camillus Mission Hospital,14103.0,Kachieng' Ward,Nyatike Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,49.0,49.0
jC5xoC8BnPT,St Barnabas Dispensary,14102.0,Oruba Ward,Suna West Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,87.0,83.0
dOTpdQwrYeN,Migori District Hospital,13805.0,Suna central Ward,Suna East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,62.0,41.0
