facilityuid,facility,code,ward,sub_county,county,indicator,indicator_name,period,dhis2_value,other,gender,short_indicator_name,age
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,35,35,male,tested,20-24
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,42,45,female,tested,15-19
cd2oXY1uQan,Verna Health Centre,14166,East kamagambo Ward,Rongo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,17,20,female,tested,15-19
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,12,46,female,tested,20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,3,9,n,tested,1-9
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,8,8,male,tested,20-24
cdSguOsrorH,Iraha Dispensary,13619,Nyamosense/komosoko Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,5,3,male,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,2019Q4,240,237,male,tested,25+
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,155,153,female,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,117,134,female,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,29,29,male,tested,10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,11,11,male,tested,10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,3,3,male,tested,10-14
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,15,15,n,tested,1-9
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,10,10,n,tested,1-9
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,81,82,male,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,65,63,male,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,50,47,male,tested,20-24
cLo2mMOlSkq,Muhuru Health Centre,13833,Muhuru Ward,Nyatike Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,89,116,female,tested,15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,83,133,female,tested,20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,49,62,female,tested,20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,38,45,female,tested,20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,103,106,male,tested,10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,23,23,male,tested,10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,5,5,male,tested,10-14
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,27,26,n,tested,1-9
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q2,6,6,n,tested,1-9
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,28,24,male,tested,20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,19,19,male,tested,20-24
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,41,50,female,tested,15-19
Cm5Cyjgr17X,Kolwal Dispensary,17344,South kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,47,52,female,tested,15-19
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,44,81,female,tested,20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,41,65,female,tested,20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,24,49,female,tested,20-24
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,12,28,female,tested,15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,11,10,male,tested,10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,2,2,male,tested,10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,3,5,male,tested,10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,17,12,n,tested,1-9
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,17,19,male,tested,20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,16,6,male,tested,20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,33,50,female,tested,15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,23,18,female,tested,15-19
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,2019Q4,116,122,male,tested,25+
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,72,85,female,tested,20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,48,46,female,tested,20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2020Q1,11,11,n,tested,1-9
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,37,39,male,tested,20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,19,19,male,tested,20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,55,53,female,tested,15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,gTkVw97FnQK,MOH 731 Tested_25+ (M) HV01-08,2020Q1,888,846,male,tested,25+
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,263,315,female,tested,20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,179,144,male,tested,10-14
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,315,310,male,tested,20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,116,139,male,tested,20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,167,147,male,tested,20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,663,643,female,tested,15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,193,144,female,tested,15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,90,187,female,tested,20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,209,120,female,tested,20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,19,45,male,tested,10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,6,25,male,tested,10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,1,1,male,tested,10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,23,29,n,tested,1-9
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,55,63,male,tested,20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,100,203,female,tested,15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,94,136,female,tested,15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2019Q4,20,12,female,tested,10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2020Q1,2,3,female,tested,10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,2020Q2,6,7,female,tested,10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2019Q4,61,78,female,tested,20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,25,15,n,tested,1-9
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,41,34,male,tested,20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,27,23,male,tested,20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,5,5,male,tested,20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,48,61,female,tested,15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,9,13,female,tested,15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q1,21,44,female,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,MOH 731 Tested_20-24(F) HV01-07,2020Q2,36,43,female,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2019Q4,22,5,male,tested,10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q1,7,3,male,tested,10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,2020Q2,8,4,male,tested,10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,2019Q4,13,13,n,tested,1-9
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2019Q4,30,22,male,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q1,16,13,male,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,2020Q2,19,10,male,tested,20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2019Q4,37,53,female,tested,15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q1,24,40,female,tested,15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,2020Q2,27,27,female,tested,15-19
