facilityuid,facility,code,ward,sub_county,county,indicator,period,dhis2_value,datim_value,gender,age
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,2,2.0,(M),10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q2,3,5.0,(M),10-14
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q1,17,12.0,,1-9
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,17,19.0,(M),20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,16,6.0,(M),20-24
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,33,50.0,(F),15-19
DDiNOmleakD,Siruti Dispensary,17051,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,23,18.0,(F),15-19
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,gTkVw97FnQK,2019Q4,116,122.0,(M),25+
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q1,72,85.0,(F),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,JiuqbydCIcy,2020Q2,48,46.0,(F),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,OePJt8CcZ0d,2020Q1,11,11.0,,1-9
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2019Q4,37,39.0,(M),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,pkShOkgNQt2,2020Q2,19,19.0,(M),20-24
DmDKo97EhtM,Osogo Dispensary,13997,West kanyamkago Ward,Uriri Sub County,Migori County,YXJf27jfkvS,2020Q2,55,53.0,(F),15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,gTkVw97FnQK,2020Q1,888,846.0,(M),25+
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,JiuqbydCIcy,2020Q2,263,315.0,(F),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,lj9QYJqS7bN,2019Q4,179,144.0,(M),10-14
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2019Q4,315,310.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2020Q1,116,139.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,pkShOkgNQt2,2020Q2,167,147.0,(M),20-24
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,2019Q4,663,643.0,(F),15-19
dOTpdQwrYeN,Migori District Hospital,13805,Suna central Ward,Suna East Sub County,Migori County,YXJf27jfkvS,2020Q2,193,144.0,(F),15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q1,90,187.0,(F),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2020Q2,209,120.0,(F),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2019Q4,19,45.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2020Q1,6,25.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,lj9QYJqS7bN,2020Q2,1,1.0,(M),10-14
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,OePJt8CcZ0d,2019Q4,23,29.0,,1-9
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q1,55,63.0,(M),20-24
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2019Q4,100,203.0,(F),15-19
Dp9uga9zfqH,God Kwer Dispensary,13583,Wiga Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q1,94,136.0,(F),15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2019Q4,20,12.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2020Q1,2,3.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,gMICOUtzqRb,2020Q2,6,7.0,(F),10-14
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,JiuqbydCIcy,2019Q4,61,78.0,(F),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,OePJt8CcZ0d,2019Q4,25,15.0,,1-9
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2019Q4,41,34.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q1,27,23.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,pkShOkgNQt2,2020Q2,5,5.0,(M),20-24
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2019Q4,48,61.0,(F),15-19
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Oruba Ward,Suna West Sub County,Migori County,YXJf27jfkvS,2020Q2,9,13.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,21,44.0,(F),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,36,43.0,(F),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,22,5.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,7,3.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q2,8,4.0,(M),10-14
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2019Q4,13,13.0,,1-9
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,30,22.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,16,13.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,19,10.0,(M),20-24
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2019Q4,37,53.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,24,40.0,(F),15-19
aCOEeeYEcsO,Rabondo Dispensary,14019,West sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,27,27.0,(F),15-19
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q1,24,49.0,(F),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,JiuqbydCIcy,2020Q2,17,19.0,(F),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q1,12,14.0,(M),20-24
dW7oScLnDy2,Winjo Dispensary,14173,Muhuru Ward,Nyatike Sub County,Migori County,pkShOkgNQt2,2020Q2,15,14.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,33,54.0,(F),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,20,39.0,(F),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q1,39,60.0,,1-9
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q2,7,12.0,,1-9
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,17,17.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q2,21,21.0,(M),20-24
dWATcMI6XJL,Angaga Dispensary,17050,South sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q2,23,28.0,(F),15-19
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q1,151,96.0,(F),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2019Q4,7,6.0,,1-9
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2020Q1,3,3.0,,1-9
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2019Q4,63,65.0,(M),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,pkShOkgNQt2,2020Q2,37,24.0,(M),20-24
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2019Q4,120,119.0,(F),15-19
dwsqnJOgFCH,Imc Tekeleza Dice - Isebania,20019,Isibania Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q2,8,6.0,(F),15-19
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2019Q4,52,339.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q1,46,170.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,JiuqbydCIcy,2020Q2,46,166.0,(F),20-24
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2019Q4,5,6.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q1,1,1.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,lj9QYJqS7bN,2020Q2,1,1.0,(M),10-14
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2020Q1,18,22.0,,1-9
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,OePJt8CcZ0d,2020Q2,17,16.0,,1-9
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q1,24,88.0,(F),15-19
dwu3NQizNkT,Kuria District Hospital,13726,Bukira east Ward,Kuria West Sub County,Migori County,YXJf27jfkvS,2020Q2,17,67.0,(F),15-19
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q1,18,48.0,(F),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,JiuqbydCIcy,2020Q2,21,34.0,(F),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2019Q4,3,3.0,(M),10-14
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,lj9QYJqS7bN,2020Q1,1,1.0,(M),10-14
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2019Q4,3,5.0,,1-9
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q1,6,6.0,,1-9
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,OePJt8CcZ0d,2020Q2,2,2.0,,1-9
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2019Q4,18,25.0,(M),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,pkShOkgNQt2,2020Q1,15,14.0,(M),20-24
aWpElDmioIw,Kuja Dispensary,13724,North sakwa Ward,Awendo Sub County,Migori County,YXJf27jfkvS,2020Q1,7,27.0,(F),15-19
